TEXT,LABELS
"['From', 'EWB', 'Princeton', ':', 'The', 'reservoir', 'has', 'a', 'valve', 'box', 'that', 'controls', 'the', 'flow', 'of', 'water', 'to', 'the', 'different', 'water', 'lines', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'valve', 'box', 'has', 'X', 'valves', ':', '-', 'list', 'out', 'valves', 'and', 'labels', ';', 'good', 'to', 'have', 'extra', 'valves', 'installed', 'for', 'future', 'distribution', 'lines', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
"['If', 'valve', 'box', 'is', 'locked', ',', 'people', 'can', '’', 't', 'tamper', 'with', 'it', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"['Maintenance', 'Checklist', 'Every', 'Month', ':', 'Potential', 'Sources', 'of', 'Contamination', '-', 'Check', 'area', 'around', 'storage', 'tank', 'and', 'cistern', 'to', 'make', 'sure', 'no', 'contamination', 'has', 'been', 'introduced', 'in', 'the', 'surrounding', 'area', '.']","[1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
"['Types', 'of', 'contamination', 'include', 'hazardous', 'waste', ',', 'gasoline', ',', 'oil', ',', 'etc', '.']","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]"
"['If', 'we', 'think', 'people', 'will', 'use', 'this', 'for', 'drinking', ',', 'the', 'area', 'should', 'also', 'be', 'clear', 'of', 'fertilizer', ',', 'pesticides', 'or', 'other', 'toxins', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
"['-', 'No', 'waste', 'disposal', 'or', 'garbage', 'disposal', 'site', 'should', 'be', 'near', 'the', 'storage', 'tank', '.']","[0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
"['-', 'Ensure', 'that', 'there', 'are', 'no', 'pools', 'of', 'standing', 'water', 'near', 'the', 'storage', 'tanks', '(', 'indicator', 'of', 'leaks', ',', 'source', 'of','mold/fungus', ',', 'breeding', 'ground', 'for', 'mosquitoes', ',', 'etc', '.', ')']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
"['-', 'Keep', 'animals', 'out', 'of', 'the', 'drainage', 'area', '.']","[0, 0, 1, 0, 0, 0, 1, 0, 0]"
"['don', '’', 't', 'let', 'them', 'crawl', 'into', 'the', 'tank', '-', 'mesh', 'on', 'drainage', 'pipe', 'should', 'do', 'it', 'Filtering', 'Screens', '-', 'Ensure', 'all', 'filter', 'screens', 'are', 'in', 'place', 'and', 'securely', 'attached', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]"
"['-', 'Make', 'sure', 'screens', 'covering', 'pipe', 'ends', 'are', 'in', 'good', 'shape', 'and', 'have', 'no', 'holes', 'or', 'frays', '.']","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
"['-', 'Replace', 'any', 'broken', 'screens', 'as', 'needed', '.']","[0, 1, 0, 1, 1, 0, 1, 0]"
"['-', 'Clean', 'off', 'screens', 'of', 'any', 'trapped', 'debris', '.']","[0, 0, 0, 1, 0, 0, 1, 1, 0]"
"['Pipes', '-', 'Check', 'all', 'pipe', 'connections', 'and', 'make', 'sure', 'that', 'there', 'are', 'no', 'leaks', 'in', 'the', 'system', '.']","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"['-', 'If', 'there', 'are', 'leaks', ',', 'tighten', 'connections', ',', 'seal', 'leaks', 'or', 'replace', 'pipes', ',', 'as', 'necessary', '.']","[0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
"['-', 'Check', 'all', 'valves', 'to', 'make', 'sure', 'all', 'are', 'properly', 'functioning', 'by', 'turning', 'on', 'and', 'off', 'at', 'least', 'once', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['large', 'wet', 'soil', 'spots', 'or', 'puddles', ')', '.']","[0, 0, 1, 1, 0, 1, 0, 0]"
"['Check', 'the', 'pressure', 'gauge', 'to', 'see', 'if', 'water', 'pressure', 'has', 'dropped', '.']","[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
"['Check', 'levels', 'in', 'the', 'water', 'tank', 'for', 'signs', 'of', 'low', 'water', 'intake', '.']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['Take', 'care', 'of', 'any', 'necessary', 'ruptures', 'or', 'leaks', 'immediately', '.']","[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
"['Seasonally', ':', '(', 'see', 'pump', 'maintenance', 'checklist', 'for', 'system', 'operation', 'when', 'it', 'comes', 'to', 'turning', 'on', 'and', 'shutting', 'the', 'system', 'down', ')', '', '', 'If', 'there', 'is', 'a', 'broken', 'or', 'leaking', 'pipe', 'follow', 'guideline', 'below', ':', 'Turn', 'pump', 'off', 'immediately', 'and', 'wait', 'for', 'the', 'water', 'in', 'the', 'pipeline', 'to', 'fully', 'drain', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"['Do', 'they', 'function', 'properly', '?']","[0, 0, 1, 1, 0]"
"['Always', 'open', 'and', 'close', 'them', 'slowly', '.']","[0, 1, 0, 1, 0, 1, 0]"
"['Monthly', ':', 'Check', 'for', 'overgrowth', 'of', 'plants', 'where', 'there', 'are', 'valves', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"['Remove', 'plants', 'and', 'other', 'natural', 'obstacles', 'to', 'make', 'sure', 'there', 'is', 'clear', 'access', 'to', 'valves', '.']","[1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
"['If', 'using', 'ball', 'valves', ',', 'open', 'and', 'close', 'slowly', 'to', 'avoid', 'water', 'hammers', '-', 'Protection', 'from', 'animal', 'and', 'people', 'traffic', ':', 'Make', 'sure', 'the', 'pipe', 'is', 'at', 'least', '1.5', 'feet', '(', '.45', 'meters', ')', 'under', 'the', 'ground', 'to', 'avoid', 'damage', 'from', 'animal', 'and', 'people', 'traffic', '.']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
"['-', 'Keep', 'an', 'inventory', 'of', 'fittings', ':', 'If', 'running', 'low', 'on', 'inventory', 'go', 'to', 'Ilagala', '?', '?']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
"['to', 'purchase', 'new', 'parts', '(', 'e.g', '.']","[0, 1, 0, 0, 0, 0, 0]"
"['fittings', ')', '.']","[0, 0, 0]"
"['Covers', '-', 'Make', 'sure', 'the', 'cover', 'fits', 'tightly', 'over', 'the', 'storage', 'tank', 'and', 'is', 'locked', 'at', 'all', 'times', '.']","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
"['-', 'Make', 'sure', 'there', 'are', 'no', 'gaps', 'or', 'openings', 'for', 'light', 'or', 'dust', 'to', 'enter', 'the', 'storage', 'tank', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0]"
"['Structure', '-', 'Check', 'for', 'any', 'leaks', 'in', 'the', 'tank', 'or', 'fittings', '.']","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
"['-', 'Inspect', 'all', 'concrete', 'for', 'large', 'cracks', '.']","[0, 1, 0, 1, 0, 0, 1, 0]"
"['', '', 'Weekly', ':', 'Check', 'the', 'operation', 'of', 'valves', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
"['Carefully', 'dig', 'trench', 'to', 'expose', 'the', 'area', 'of', 'the', 'broken', 'or', 'leaking', 'pipe', '.']","[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Cut', 'away', 'the', 'pipe', 'section', 'that', 'is', 'damaged', '.']","[1, 0, 0, 0, 0, 0, 0, 1, 0]"
"['Insert', 'a', 'compression', 'coupling', 'into', 'the', 'removed', 'section', 'of', 'pipe', '.']","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0]"
"['Re-cover', 'the', 'pipeline', 'with', 'soil', 'and', 'compress', 'soil', 'using', 'hands', '.']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]"
"['Slowly', 'turn', 'pump', 'back', 'on', 'and', 'monitor', 'pipeline', 'to', 'check', 'if', 'the', 'pipe', 'is', 'no', 'longer', 'leaking', '.']","[0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Community', 'Construction', 'Manual', 'Step', '1', ':', 'Dig', 'the', 'trench', ':', '400', 'meters', 'x', '16', 'inches', 'wide', 'x', '18', 'inches', 'deep', 'Tools', ':', 'shovel', 'Step', '2', ':', 'Assemble', 'Pipes', ':', 'Tools', '&', 'materials', ':', 'Primer', ',', 'cement', 'solvent', ',', 'paintbrush', ',', 'Sand', 'the', 'end', 'of', 'the', 'pipe', ':', 'Apply', 'primer', ':', 'Apply', 'cement', 'solvent', ':', '2x', 'Fit', 'pipe', 'into', 'socket', 'Wait', 'for', 'cement', 'to', 'cure/dry', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]"
"['Backfill', 'and', 'hand','tamp', '.']","[1, 0, 1, 0]"
"['Tools', ':','shovel', ',', 'hand', 'tamper', '.']","[0, 0, 0, 1, 1, 0]"
"['To', 'facilitate', 'the', 'retention', 'and', 'compaction', 'and', 'provide', 'additional', 'strength', ',', 'concrete', 'hollow', 'blocks', 'with', 'vertical', 'bars', 'along', 'the', 'circumference', 'at', 'about', '20-30', 'cm', 'centre', 'to', 'centre', 'can', 'be', 'used', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
"['Typically', 'the', 'fabrication', 'of', 'a', 'truss', 'involves', 'cutting', ',', 'bending', 'and', 'welding', 'the', 'top', 'and', 'bottom', 'chords', 'vertically', 'and', 'diagonally', '.']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
"['Step', '16', ':', 'Fixing', 'Roof', 'Trusses', '(', 'Roof', 'Stiffeners', ')', ':', 'The', 'roof-stiffening', 'trusses', 'are', 'welded', 'with', 'the', 'top', 'of', 'C-channels', 'in', 'the', 'wall', 'at', 'the', 'lower', 'end', 'and', 'with', 'the', 'column', 'top', 'base', 'plate', 'at', 'the', 'other', 'end', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
"['Special', 'care', 'should', 'be', 'taken', 'while', 'plastering', 'around', 'the', 'edges', ',', 'rings', 'and', 'openings', 'so', 'as', 'to', 'avoid', 'leaks', 'in', 'the', 'future', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['Time', 'Estimates', ':', 'Assumptions', ':', 'we', 'have', '4', 'team', 'members', 'and', 'a', 'work', 'day', 'is', 'approximately', '6', 'hours', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0]"
"['Therefore', ',', 'there', 'are', 'vertical', 'bars', 'of', 'two', 'different', 'lengths', '(', 'but', 'same', 'diameter', ')', '–', 'the', 'first', 'type', 'extending', 'only', 'up', 'to', '1', 'meter', 'from', 'the', 'base', 'and', 'the', 'other', 'type', 'extending', 'up', 'to', 'the', 'top', 'of', 'the', 'wall', 'with', 'some', 'additional', 'length', 'to', 'bend', 'into', 'the', 'roof', '(', '2.2', '+', '0.3', '=', '2.5m', ')', '.']","[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Step', '3', ':', 'Testing', '&', 'Backfilling', ':', 'Place', 'the', 'pipe', 'into', 'the', 'ground', '.']","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
"['Test', 'for', 'leaks', '.']","[1, 0, 1, 0]"
"['Step', '8', ':', 'Placing', 'Vertical', 'Dowel/Fixing', 'Plate/Bars', 'for', 'Central', 'Column', ':', 'Similar', 'to', 'the', 'L-shaped', 'bars', 'placed', 'along', 'the', 'perimeter', ',', '4-8', 'bars', 'can', 'be', 'placed', 'at', 'the', 'location', 'where', 'the', 'central', 'column', 'is', 'to', 'be', 'erected', '.']","[0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
"['Typically', 'the', 'fabrication', 'of', 'a', 'truss', 'involves', 'cutting', ',', 'bending', 'and', 'welding', 'the', 'top', 'and', 'bottom', 'chords', 'vertically', 'and', 'diagonally', '.']","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0]"
"['Two', 'team', 'members', 'should', 'do', 'this', ',', 'one', 'applying', 'on', 'the', 'socket', 'fitting', 'and', 'the', 'other', 'on', 'the', 'pipe', '.']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
"['Might', 'be', 'helpful', 'to', 'spray', 'paint', 'at', 'joints', 'before', 'placing', 'underground', 'so', 'that', 'one', 'can', 'see', 'where', 'a', 'joint', 'has', 'slipped', '.']","[0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
"['Insert', 'a', 'compression', 'coupling', 'into', 'the', 'removed', 'section', '.']","[1, 0, 1, 1, 0, 0, 1, 1, 0]"
"['Certain', 'tasks', ',', 'such', 'as', 'assembling', 'the', 'pipe', ',', 'will', 'require', 'diligent', 'collaboration', 'as', 'described', 'above', '.']","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['-', 'certain', 'community', 'members', 'should', 'be', 'tasked', 'with', 'reservoir', 'upkeep', 'by', 'the', 'water', 'committee', 'Training', 'volunteers', 'throughout', 'implementation', '-', 'do', 'a', 'cleanout', 'of', 'the', 'tank', 'towards', 'the', 'end', 'of', 'the', 'trip', 'to', 'demonstrate', 'Teaching', 'schedule', 'for', 'travel', 'team', '(', 'what', 'skills', 'do', 'they', 'need', 'to', 'have', 'prior', 'to', 'travel', ')', 'Skills', ':', 'know', 'which', 'way', 'a', 'ball', 'valve', 'opens', 'and', 'closes', 'Teaching', 'schedule', 'for', 'community', 'members', 'Stop', 'pump', ',', 'drain', 'tank', ',', 'and', 'have', 'community', 'members', 'clean', 'out', 'tank', 'once', 'before', 'you', 'leave', '.']","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
"['Plastering', 'of', 'Wall', 'Roof', 'Step', '15', ':', 'Preparation', 'of', 'Roof', 'Shallow', 'Truss', ':', 'Eight', 'roof', 'trusses', 'of', 'about', '10', 'cm', 'depth', 'made', 'up', 'of', '9mm', '(', 'top', 'and', 'bottom', ')', 'and', '6', 'mm', '(', 'vertical', 'and', 'diagonal', ')', 'welded', 'bars', 'are', 'used', 'to', 'stiffen', 'the', 'roof', '.']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
"['There', 'are', 'two', 'methods', 'for', 'preparation', ':', 'either', 'the', 'column', 'can', 'be', 'prepared', 'completely', 'outside', 'and', 'fixed', 'at', 'its', 'final', 'position', 'or', 'alternatively', ',', 'all', 'the', 'work', ',', 'including', 'placement', 'of', 'rebar', 'and', 'fixing', 'of', 'the', 'top', 'plate', ',', 'can', 'be', 'performed', 'when', 'it', 'is', 'erected', '.']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
"['-', 'Add', 'concrete', 'to', 'repair', 'chips', ',', 'broken', 'edges', ',', 'and', 'cracks', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['-', 'Check', 'edges', 'of', 'structure', 'for', 'signs', 'of', 'soil', 'erosion', 'or', 'washout', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
"['Cleaning', '-', 'Open', 'the', 'drainage', 'valve', 'and', 'let', 'the', 'remaining', 'water', 'drain', 'out', 'to', 'allow', 'for', 'cleaning', 'and', 'inspection', 'of', 'the', 'tank', '.']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['-', 'If', 'materials', 'are', 'available', ',', 'scrub', 'down', 'the', 'inside', 'of', 'the', 'reservoir', 'tank', 'with', 'a', 'diluted', 'chlorine', 'solution', 'for', 'sanitation', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]"
"['Let', 'it', 'stand', 'and', 'air', 'out', 'before', 'closing', 'the', 'drainage', 'valve', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['Tank', 'Construction', 'Manual', '.']","[0, 1, 0, 0]"
"['IV', 'Construction', 'Steps', 'The', 'following', 'paragraphs', 'outline', 'the', 'easy-to-follow', 'details', 'on', 'the', 'how', 'to', 'proceed', 'with', 'the', 'construction', 'of', 'the', 'cast-in-place', 'ferro-cement', 'tank', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
"['They', 'are', 'separated', 'into', 'three', 'sections', ':', 'foundation', ',', 'wall', 'and', 'roof', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"['These', 'should', 'be', 'read', 'in', 'conjunction', 'with', 'the', 'Sections', 'on', 'Material', 'Specifications', 'and', 'Drawings', ',', 'as', 'that', 'is', 'where', 'dimensions', 'and', 'quantities', 'are', 'provided', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]"
"['Foundation', 'Step', '1', ':', 'Selection', 'of', 'Site', ':', 'The', 'site', 'should', 'be', 'located', 'in', 'an', 'area', 'higher', 'than', 'its', 'surroundings', '.']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"['The', 'other', 'considerations', 'include', 'the', 'sources', 'of', 'water', 'supply', ',', 'areas', 'in', 'which', 'the', 'water', 'is', 'to', 'be', 'distributed', ',', 'possibility', 'of', 'flooding', ',', 'and', 'practical', 'aspects', 'of', 'construction', '.']","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"['The', 'final', 'decision', 'should', 'be', 'taken', 'by', 'a', 'qualified', 'engineer', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
"['Step', '2', ':', 'Site', 'Clearance', ':', 'The', 'site', 'must', 'be', 'cleared', 'with', 'loose', 'surfaces', 'compacted', 'and', 'levelled', 'properly', '.']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0]"
"['The', 'area', 'should', 'be', 'protected', 'or', 'fenced', ',', 'if', 'necessary', '.']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"['Step', '3', ':', 'Preparation', 'of', 'Foundation', ':', 'The', 'type', 'of', 'foundation', 'required', 'may', 'differ', 'depending', 'upon', 'geographical', 'locations', ',', 'soil', 'condition', ',', 'and', 'size', 'of', 'the', 'water', 'tank', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['The', 'design', 'should', 'be', 'carried', 'out', 'by', 'a', 'civil', 'or', 'geotechnical', 'engineer', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
"['For', 'the', 'prototype', ',', 'the', 'foundation', 'consists', 'of', 'compacted', 'soil', 'and', 'sand', 'up', 'to', '0.5', 'm', 'above', 'the', 'existing', 'ground', 'level', '.']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
"['However', ',', 'other', 'methods', 'that', 'would', 'serve', 'the', 'same', 'purpose', 'can', 'also', 'be', 'employed', 'depending', 'on', 'the', 'requirements', 'of', 'the', 'site', 'and', 'the', 'availability', 'of', 'type', 'of', 'local', 'construction', 'material', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
"['Steps', 'to', 'prepare', 'the', 'foundation', '1', ')', 'Mark', 'the', 'location', 'of', 'the', 'foundation', 'perimeter', '(', 'circular', 'ring', ')', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
"['2', ')', 'Lay', 'the', 'blocks', '.']","[0, 0, 0, 0, 1, 0]"
"['3', ')', 'Insert', 'the', 'vertical', 'bars', '(', 'dia', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
"['6', 'or', '9mm', ',', '20-30', 'cm', 'c/c', ')', ';', 'fill', 'the', 'holes', 'with', 'cement', 'mortar', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
"['4', ')', 'Fill', 'the', 'space', 'with', 'soil/sand', '.']","[0, 0, 0, 0, 1, 0, 1, 0]"
"['At', 'least', 'top', '10', 'cm', 'should', 'be', 'filled', 'with', 'sand', '.']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
"['In', 'this', 'prototype', ',', 'two', 'layers', 'were', 'prepared', 'outside', 'the', 'tank', 'area', 'and', 'transferred', 'by', 'lifting', '.']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
"['Generally', '4', 'to', '6', 'persons', 'are', 'required', 'for', 'moving', 'and', 'placing', 'the', 'reinforcement', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
